product_id;product_code;product_name;brand_id;category_id;colour_id;size_id;price;gender_id;active
625;10002248;Alpine Windbreaker;5;8;2;4;58.68;1;True
12;10020580;Trail Skort;2;7;3;2;229.26;2;True
3386;10029669;Active Top;5;2;10;1;123.73;1;True
11168;10031235;Skyline Skort;4;7;4;3;109.01;2;False
11787;10039709;Flex Longsleeve;5;3;10;1;223.79;2;True
2141;10042905;Mountain Shoes;4;10;7;1;294.6;1;True
3346;10048921;Active Top;5;2;7;2;123.73;3;True
3527;10053212;Urban Windbreaker;4;8;9;3;91.24;1;True
2439;10057508;Summit Shorts;2;5;6;5;104.2;2;True
8491;10058703;Mountain Windbreaker;3;4;10;2;207.16;3;True
11336;10075379;Alpine Boots;2;10;10;1;197.33;1;True
10160;10080158;Summit Sweatpants;4;6;4;5;257.9;3;True
376;10093688;Blaze Boardshorts;5;5;6;1;69.01;1;True
831;10098416;Glacier Shorts;5;5;6;2;81.19;3;True
7986;10100900;Blaze Boxers;3;1;10;1;216.33;1;True
4175;10104009;Flex Top;3;2;9;2;203.25;2;True
9096;10117794;Flex Tee;5;2;10;4;256.8;2;True
13733;10126955;Core Tee;4;2;6;3;118.4;2;True
1742;10131026;Urban Windbreaker;3;4;3;4;261.33;3;True
5611;10138664;Velocity Coat;3;8;1;4;271.22;2;True
986;10138728;Velocity Windbreaker;4;4;6;4;204.26;2;True
9313;10153166;Pulse Boxers;3;1;8;3;67.03;2;True
4565;10165251;Storm Shell;1;8;1;5;118.04;3;True
7340;10166149;Skyline T-Shirt;5;2;6;5;234.43;3;True
4488;10173386;Sprint Shell;1;4;10;1;114.45;3;True
1315;10180207;Summit Shorts;1;5;8;4;281.6;1;True
5245;10196839;Flex T-Shirt;1;2;7;2;53.37;2;True
4321;10204132;Pulse Shorts;3;5;9;1;144.28;1;True
4610;10213968;Storm Shell;1;8;4;5;118.04;3;True
654;10216191;Alpine Windbreaker;5;8;4;3;58.68;3;True
8710;10218209;Sprint Coat;4;4;4;5;217.56;3;True
13509;10222330;Velocity Tee;2;2;1;3;157.49;3;True
13191;10223650;Storm Sweatpants;4;6;10;2;235.91;3;True
7594;10232852;Summit Ankle Socks;2;9;3;5;230.13;2;True
10749;10242187;Core Jacket;4;8;4;2;203.09;1;True
12846;10244212;Pulse Sneakers;2;10;10;4;51.22;2;True
7644;10252466;Summit Ankle Socks;2;9;7;2;230.13;1;True
2946;10255474;Sprint Tee;1;2;10;4;282.81;2;True
12661;10272870;Blaze Briefs;1;1;8;2;28.75;3;True
2518;10282604;Mountain Sneakers;5;10;2;1;73.67;3;True
484;10290076;Velocity Longsleeve;5;3;3;2;106.39;1;False
9072;10293523;Flex Tee;5;2;9;1;256.8;2;True
3159;10293678;Blaze Sweatpants;2;6;4;5;246.66;2;True
11810;10297531;Core Briefs;3;1;1;4;130.73;1;True
341;10300251;Blaze Boardshorts;5;5;3;4;69.01;2;True
6303;10311031;Urban Tee;2;2;7;5;144.44;1;True
4860;10314137;Velocity Coat;5;4;1;4;123.63;1;True
264;10314916;Pulse Boots;5;10;8;3;239.26;3;True
821;10316118;Glacier Shorts;5;5;5;4;81.19;2;True
5313;10320788;Blaze Top;3;2;1;5;76.64;1;True
1684;10322135;Alpine Underwear;2;1;9;5;178.9;2;True
3807;10322196;Blaze Boxers;5;1;4;4;76.88;3;True
8936;10325917;Storm Polo;2;3;10;1;44.57;1;True
538;10329707;Velocity Longsleeve;5;3;6;5;106.39;1;True
4090;10334427;Flex Top;3;2;3;4;203.25;1;True
3544;10340842;Urban Windbreaker;4;8;10;3;91.24;3;True
10456;10360945;Core Sweatpants;2;6;4;4;51.46;2;True
13734;10374147;Core Tee;4;2;6;3;118.4;3;True
9553;10377445;Urban Wool Socks;1;9;4;3;236.18;2;True
10458;10404763;Core Sweatpants;2;6;4;5;51.46;1;True
2647;10409403;Mountain Sneakers;5;10;10;4;73.67;3;True
1603;10412179;Alpine Underwear;2;1;4;3;178.9;2;True
3739;10412441;Alpine Skirt;4;7;8;4;58.18;2;True
6235;10413371;Urban Tee;2;2;3;2;144.44;2;True
660;10417046;Alpine Windbreaker;5;8;4;5;58.68;3;True
906;10420883;Velocity Windbreaker;4;4;1;2;204.26;3;True
26;10433113;Trail Skort;2;7;6;1;229.26;2;True
8716;10436616;Sprint Coat;4;4;5;2;217.56;3;True
