item_id;product_id;item_price;order_id;quantity;created_at
1;14276;246.92;1;1;2024-03-20 12:47:03+00
2;12571;171.24;1;1;2024-03-20 12:47:03+00
3;1840;158.77;1;1;2024-03-20 12:47:03+00
4;2075;279.02;2;2;2024-03-21 11:04:18+00
5;342;283.37;2;1;2024-03-21 11:04:18+00
6;7485;102.23;2;1;2024-03-21 11:04:18+00
7;2752;142.68;3;2;2024-03-21 10:11:32+00
8;6276;174.36;3;2;2024-03-21 10:11:32+00
9;9277;246.6;4;2;2024-03-21 14:29:55+00
10;12972;97.53;5;2;2024-03-22 11:01:06+00
11;2939;268.57;5;2;2024-03-22 11:01:06+00
12;4440;246.25;6;2;2024-03-22 15:19:06+00
13;11855;294.61;6;2;2024-03-22 15:19:06+00
14;14310;246.92;6;1;2024-03-22 15:19:06+00
15;4939;208.94;7;1;2024-03-23 12:07:21+00
16;6236;174.36;7;2;2024-03-23 12:07:21+00
17;9128;47.46;7;1;2024-03-23 12:07:21+00
18;9848;187.29;8;2;2024-03-23 13:27:19+00
19;7628;289.24;8;2;2024-03-23 13:27:19+00
20;10010;124.13;8;2;2024-03-23 13:27:19+00
21;1751;158.77;9;1;2024-03-23 09:03:08+00
22;5409;262.44;9;2;2024-03-23 09:03:08+00
23;9549;271.65;9;2;2024-03-23 09:03:08+00
24;12634;171.24;10;2;2024-03-24 15:05:14+00
25;8617;20.1;11;2;2024-03-24 12:24:49+00
26;7689;150.93;12;2;2024-03-25 11:58:20+00
27;3330;288.72;12;1;2024-03-25 11:58:20+00
28;9525;271.65;12;2;2024-03-25 11:58:20+00
29;11200;74.23;13;2;2024-03-26 11:41:27+00
30;5338;186.72;13;2;2024-03-26 11:41:27+00
31;815;66.62;14;2;2024-03-27 14:03:56+00
32;1683;34.97;14;1;2024-03-27 14:03:56+00
33;976;111.73;15;2;2024-03-27 15:42:53+00
34;6189;174.36;15;2;2024-03-27 15:42:53+00
35;13114;96.28;15;2;2024-03-27 15:42:53+00
36;13374;31.23;16;1;2024-03-28 14:54:09+00
37;9086;47.46;16;1;2024-03-28 14:54:09+00
38;5229;77.25;16;2;2024-03-28 14:54:09+00
39;3461;155.59;17;2;2024-03-29 11:22:02+00
40;1608;34.97;17;1;2024-03-29 11:22:02+00
41;8286;290.75;17;1;2024-03-29 11:22:02+00
42;3514;155.59;18;2;2024-03-30 17:06:35+00
43;9054;47.46;19;1;2024-03-30 14:25:52+00
44;5124;167.55;20;1;2024-03-31 10:29:36+00
45;11323;281.15;20;2;2024-03-31 10:29:36+00
46;2167;297.07;20;1;2024-03-31 10:29:36+00
47;13473;276.23;21;1;2024-03-31 13:58:59+00
48;7309;236.56;22;2;2024-03-31 11:58:48+00
49;1853;226.63;22;2;2024-03-31 11:58:48+00
50;11768;294.61;23;1;2024-04-01 10:47:26+00
51;475;67.6;23;2;2024-04-01 10:47:26+00
52;6551;22.47;24;1;2024-04-02 09:56:53+00
53;1429;61.77;24;2;2024-04-02 09:56:53+00
54;13193;235.47;24;2;2024-04-02 09:56:53+00
55;1972;226.63;25;1;2024-04-02 12:32:47+00
56;5652;231.72;25;2;2024-04-02 12:32:47+00
57;4871;65.61;25;1;2024-04-02 12:32:47+00
58;7307;236.56;26;1;2024-04-03 13:50:38+00
59;13383;31.23;26;1;2024-04-03 13:50:38+00
60;3816;128.63;27;1;2024-04-03 14:34:38+00
61;12217;197.75;28;1;2024-04-04 13:51:38+00
62;6109;163.16;28;1;2024-04-04 13:51:38+00
63;2180;297.07;28;2;2024-04-04 13:51:38+00
64;7843;234.66;29;1;2024-04-04 11:01:54+00
65;8825;237.93;29;1;2024-04-04 11:01:54+00
66;9262;246.6;30;1;2024-04-04 11:49:42+00
67;4507;264.4;31;1;2024-04-05 10:54:58+00
68;8079;250.91;31;1;2024-04-05 10:54:58+00
69;14330;246.92;32;1;2024-04-06 09:32:52+00
70;5601;231.72;32;1;2024-04-06 09:32:52+00
71;1666;34.97;33;2;2024-04-06 10:52:26+00
72;7691;150.93;33;2;2024-04-06 10:52:26+00
73;13879;215.83;33;1;2024-04-06 10:52:26+00
74;13763;275.16;34;2;2024-04-07 16:21:45+00
75;8399;290.75;34;1;2024-04-07 16:21:45+00
76;6409;83.11;34;2;2024-04-07 16:21:45+00
77;6474;22.47;35;2;2024-04-07 09:44:10+00
78;7631;289.24;35;1;2024-04-07 09:44:10+00
79;13465;276.23;35;1;2024-04-07 09:44:10+00
80;6386;83.11;36;1;2024-04-07 10:11:18+00
81;4014;232.76;36;1;2024-04-07 10:11:18+00
82;3185;64.84;37;1;2024-04-08 15:43:43+00
83;7436;102.23;37;2;2024-04-08 15:43:43+00
84;7409;102.23;38;1;2024-04-08 09:26:48+00
85;9746;247.65;38;2;2024-04-08 09:26:48+00
86;9319;273.36;39;1;2024-04-09 10:02:13+00
87;3015;215.17;39;2;2024-04-09 10:02:13+00
88;8740;237.93;39;1;2024-04-09 10:02:13+00
89;3153;64.84;40;1;2024-04-09 15:01:54+00
90;982;111.73;40;2;2024-04-09 15:01:54+00
91;10536;64.13;41;1;2024-04-10 12:10:10+00
92;12559;171.24;41;1;2024-04-10 12:10:10+00
93;13681;92.62;42;1;2024-04-10 12:29:59+00
94;856;66.62;42;1;2024-04-10 12:29:59+00
95;1099;108.62;42;2;2024-04-10 12:29:59+00
96;6345;83.11;43;2;2024-04-10 12:33:12+00
97;2141;279.02;43;1;2024-04-10 12:33:12+00
98;3650;39.3;44;1;2024-04-11 09:57:20+00
99;3615;39.3;44;1;2024-04-11 09:57:20+00
100;6622;154.03;45;1;2024-04-11 12:43:34+00
101;11092;57.8;46;1;2024-04-11 11:13:21+00
102;7862;234.66;47;1;2024-04-12 17:52:52+00
103;10580;38.05;47;2;2024-04-12 17:52:52+00
104;9445;273.36;48;1;2024-04-13 09:26:00+00
105;14106;170.61;48;1;2024-04-13 09:26:00+00
106;7982;250.91;49;2;2024-04-13 15:05:11+00
107;7668;150.93;49;1;2024-04-13 15:05:11+00
108;11236;74.23;50;2;2024-04-13 14:39:30+00
109;10166;138.33;50;1;2024-04-13 14:39:30+00
110;1047;111.73;50;2;2024-04-13 14:39:30+00
111;1055;108.62;51;2;2024-04-14 12:59:36+00
112;7999;250.91;52;1;2024-04-14 09:37:33+00
113;4262;134.02;52;1;2024-04-14 09:37:33+00
114;4135;232.76;53;1;2024-04-15 12:20:29+00
115;12643;171.24;54;1;2024-04-15 09:26:48+00
116;5464;262.44;55;2;2024-04-15 17:33:50+00
117;1072;108.62;55;2;2024-04-15 17:33:50+00
118;14126;170.61;55;2;2024-04-15 17:33:50+00
119;12070;121.87;56;2;2024-04-16 16:06:14+00
120;7750;150.93;57;2;2024-04-16 13:01:18+00
121;10275;236.95;58;2;2024-04-17 15:37:46+00
122;6041;163.16;58;1;2024-04-17 15:37:46+00
123;7764;150.93;58;2;2024-04-17 15:37:46+00
124;2658;142.68;59;2;2024-04-17 13:57:00+00
125;5748;162.85;59;1;2024-04-17 13:57:00+00
126;3623;39.3;60;2;2024-04-18 11:03:02+00
127;2626;275.94;60;1;2024-04-18 11:03:02+00
128;13883;215.83;60;1;2024-04-18 11:03:02+00
129;4500;264.4;61;2;2024-04-18 12:12:41+00
130;8300;290.75;61;1;2024-04-18 12:12:41+00
131;12156;121.87;62;1;2024-04-18 16:12:13+00
132;9108;47.46;63;1;2024-04-19 17:26:08+00
133;12691;230.23;63;2;2024-04-19 17:26:08+00
134;6668;154.03;64;2;2024-04-19 11:04:18+00
135;14351;246.92;65;1;2024-04-19 13:09:05+00
136;7109;114.53;66;1;2024-04-20 09:50:46+00
137;5258;186.72;66;1;2024-04-20 09:50:46+00
138;9719;247.65;66;2;2024-04-20 09:50:46+00
139;2441;135.84;67;1;2024-04-21 15:25:50+00
140;1476;61.77;67;1;2024-04-21 15:25:50+00
141;153;88.99;68;2;2024-04-22 10:35:40+00
142;12752;230.23;69;1;2024-04-22 11:39:21+00
143;10929;53.72;69;2;2024-04-22 11:39:21+00
144;11865;294.61;70;2;2024-04-22 16:36:32+00
145;8308;290.75;71;1;2024-04-23 17:29:16+00
146;13830;215.83;72;2;2024-04-23 10:35:03+00
147;10114;138.33;72;1;2024-04-23 10:35:03+00
148;2401;135.84;72;1;2024-04-23 10:35:03+00
149;9754;187.29;73;2;2024-04-24 16:03:25+00
150;1892;226.63;73;2;2024-04-24 16:03:25+00
151;13717;92.62;73;1;2024-04-24 16:03:25+00
152;1115;108.62;74;2;2024-04-24 11:53:32+00
153;12911;180.65;74;2;2024-04-24 11:53:32+00
154;429;283.37;75;1;2024-04-25 15:35:15+00
155;6140;163.16;75;2;2024-04-25 15:35:15+00
156;9154;246.6;75;2;2024-04-25 15:35:15+00
157;13900;215.83;76;2;2024-04-26 14:06:18+00
158;4766;65.61;76;1;2024-04-26 14:06:18+00
159;5729;162.85;76;1;2024-04-26 14:06:18+00
160;9725;247.65;77;2;2024-04-26 10:49:48+00
161;397;283.37;77;2;2024-04-26 10:49:48+00
162;1887;226.63;78;1;2024-04-26 12:27:40+00
163;102;222.42;78;2;2024-04-26 12:27:40+00
164;606;281.22;79;2;2024-04-27 14:32:45+00
165;11208;74.23;80;2;2024-04-28 15:08:59+00
166;9315;273.36;81;1;2024-04-29 13:25:02+00
167;9335;273.36;81;1;2024-04-29 13:25:02+00
168;13618;92.62;81;1;2024-04-29 13:25:02+00
169;9647;247.65;82;2;2024-04-30 12:40:05+00
170;4071;232.76;82;2;2024-04-30 12:40:05+00
171;5442;262.44;82;1;2024-04-30 12:40:05+00
172;11355;281.15;83;2;2024-05-01 11:52:56+00
173;2811;268.57;83;1;2024-05-01 11:52:56+00
174;1813;158.77;84;1;2024-05-01 15:44:50+00
175;12315;197.75;84;1;2024-05-01 15:44:50+00
176;2079;279.02;84;1;2024-05-01 15:44:50+00
177;2496;135.84;85;1;2024-05-01 17:47:37+00
178;2750;142.68;86;1;2024-05-02 13:15:15+00
179;9597;271.65;86;1;2024-05-02 13:15:15+00
180;7954;250.91;86;1;2024-05-02 13:15:15+00
181;7249;236.56;87;1;2024-05-03 09:55:57+00
182;5568;231.72;87;2;2024-05-03 09:55:57+00
183;7144;114.53;88;1;2024-05-03 12:15:43+00
184;2206;297.07;88;2;2024-05-03 12:15:43+00
185;11784;294.61;89;1;2024-05-03 15:01:33+00
186;4929;208.94;89;1;2024-05-03 15:01:33+00
187;11325;281.15;89;2;2024-05-03 15:01:33+00
188;13466;276.23;90;2;2024-05-04 09:40:49+00
189;6412;83.11;90;1;2024-05-04 09:40:49+00
190;13193;235.47;91;1;2024-05-04 09:37:04+00
191;8880;28.83;91;1;2024-05-04 09:37:04+00
192;3976;203.5;91;1;2024-05-04 09:37:04+00
193;7865;234.66;92;1;2024-05-05 14:28:10+00
194;824;66.62;93;2;2024-05-06 09:59:34+00
195;4778;65.61;94;1;2024-05-06 12:52:48+00
196;14233;170.61;94;2;2024-05-06 12:52:48+00
197;9112;47.46;94;1;2024-05-06 12:52:48+00
198;8420;278.2;95;1;2024-05-07 16:17:28+00
199;10233;236.95;96;1;2024-05-07 16:29:57+00
200;4227;134.02;96;2;2024-05-07 16:29:57+00
201;7043;113.29;97;2;2024-05-07 15:52:32+00
202;7733;150.93;97;2;2024-05-07 15:52:32+00
203;1574;34.97;97;1;2024-05-07 15:52:32+00
204;491;67.6;98;2;2024-05-08 09:59:35+00
205;5907;138.92;98;1;2024-05-08 09:59:35+00
206;1382;232.28;99;1;2024-05-09 13:43:59+00
207;10772;74.05;100;1;2024-05-09 09:10:05+00
208;2519;275.94;100;2;2024-05-09 09:10:05+00
209;2172;297.07;101;1;2024-05-10 12:24:20+00
210;9712;247.65;102;1;2024-05-11 17:55:23+00
211;4327;246.25;102;2;2024-05-11 17:55:23+00
212;6726;154.03;103;2;2024-05-11 17:42:35+00
213;12887;180.65;103;2;2024-05-11 17:42:35+00
214;2611;275.94;104;1;2024-05-12 12:35:04+00
215;8710;237.93;105;2;2024-05-13 10:52:56+00
216;3975;203.5;105;1;2024-05-13 10:52:56+00
217;9945;124.13;106;2;2024-05-14 12:05:28+00
218;9153;246.6;107;2;2024-05-15 13:16:24+00
219;3307;288.72;108;2;2024-05-15 09:56:07+00
220;14086;230.3;108;1;2024-05-15 09:56:07+00
221;6919;113.29;108;2;2024-05-15 09:56:07+00
222;8003;250.91;109;2;2024-05-15 12:58:21+00
223;6755;110.88;109;2;2024-05-15 12:58:21+00
224;358;283.37;109;1;2024-05-15 12:58:21+00
225;9026;47.46;110;1;2024-05-16 10:21:34+00
226;12958;97.53;111;1;2024-05-16 17:18:18+00
227;2615;275.94;111;1;2024-05-16 17:18:18+00
228;956;111.73;112;1;2024-05-16 14:35:49+00
229;11040;57.8;112;1;2024-05-16 14:35:49+00
230;12766;230.23;113;2;2024-05-17 12:41:42+00
231;3715;128.63;113;2;2024-05-17 12:41:42+00
232;4181;134.02;114;2;2024-05-18 16:45:22+00
233;8824;237.93;114;2;2024-05-18 16:45:22+00
234;3058;215.17;114;2;2024-05-18 16:45:22+00
235;2545;275.94;115;2;2024-05-19 10:31:50+00
236;4375;246.25;115;2;2024-05-19 10:31:50+00
237;12914;180.65;115;2;2024-05-19 10:31:50+00
238;6735;154.03;116;2;2024-05-19 15:58:48+00
239;5206;77.25;116;1;2024-05-19 15:58:48+00
240;3823;128.63;117;1;2024-05-20 12:11:29+00
241;7153;114.53;117;1;2024-05-20 12:11:29+00
242;13245;235.47;118;2;2024-05-21 13:23:07+00
243;10864;53.72;119;2;2024-05-22 09:24:29+00
244;6013;163.16;119;2;2024-05-22 09:24:29+00
245;211;88.99;119;2;2024-05-22 09:24:29+00
246;7574;289.24;120;2;2024-05-23 14:37:26+00
247;776;66.62;120;1;2024-05-23 14:37:26+00
248;13910;215.83;120;2;2024-05-23 14:37:26+00
249;4566;264.4;121;1;2024-05-23 10:58:17+00
250;3553;39.3;121;1;2024-05-23 10:58:17+00
251;6562;22.47;122;2;2024-05-23 12:04:13+00
252;1444;61.77;122;2;2024-05-23 12:04:13+00
253;2610;275.94;122;2;2024-05-23 12:04:13+00
254;9821;187.29;123;2;2024-05-24 15:29:10+00
255;6126;163.16;124;1;2024-05-25 15:27:44+00
256;1021;111.73;124;1;2024-05-25 15:27:44+00
257;2566;275.94;125;1;2024-05-26 13:11:23+00
258;140;222.42;126;2;2024-05-26 17:00:46+00
259;5809;162.85;126;1;2024-05-26 17:00:46+00
260;831;66.62;126;2;2024-05-26 17:00:46+00
261;9304;273.36;127;2;2024-05-27 09:53:21+00
262;11664;46.67;127;2;2024-05-27 09:53:21+00
263;5418;262.44;128;1;2024-05-28 17:59:48+00
264;6392;83.11;128;1;2024-05-28 17:59:48+00
265;9231;246.6;128;2;2024-05-28 17:59:48+00
266;11741;46.67;129;1;2024-05-29 15:48:33+00
267;2237;297.07;129;1;2024-05-29 15:48:33+00
268;7512;289.24;129;1;2024-05-29 15:48:33+00
269;7303;236.56;130;2;2024-05-29 13:24:20+00
