product_id;product_code;product_name;brand_id;category_id;colour_id;size_id;price;gender_id;active
1;92739192;   sprint   skirt  ;5;7;9;1;238.64;2;yes
2;11842988;Sprint Skirt;5;7;9;2;238.64;2;true
2;11842988;Sprint Skirt;5;7;9;2;238.64;2;true
7;31623630;Mountain Boardshorts;2;5;6;2;86.13;1;0
9;98282256;  mOuntain   bOardshorts ;2;5;6;4;86.13;1;no
262;45498592;Alpine Longsleeve;5;3;10;2;-15.99;3;TRUE
297;61905728;Core Coat;1;N/A;2;2;177.39;1;1
122;54210660;Blaze Pants;0;6;3;2;63.08;2;T
245;92046211;Flex Sweatpants;1;6;4;4;;3;F
34;60055015;  SKYLINE   SHIRT ;4;3;5;4;49.88;3;kanske
146;64145948;Velocity Top;3;2;4;1;82.52;-1;TRUE
10;98282256;Velocity Beanie;2;5;6;4;45.00;1;
177;65297544;Pulse Shell;1;8;7;2;291.06;1;1;
